Mooring,Cruise ID,Cruise ID
Mooring,pre deployment,post deployment
rteb1_01_2014,1,2
rtwb1_01_2014,1,2
rtwb2_01_2014,1,2
nocm1_01_2014,3,4
nocm2_01_2014,3,4
nocm3_01_2014,3,4
nocm4_01_2014,3,4
nocm5_01_2014,3,4
rteb1_02_2015,2,5
rtwb1_02_2015,2,5
rtwb2_02_2015,2,5
nocm1_02_2015,4,6
nocm2_02_2015,4,6
nocm3_02_2015,4,6
nocm4_02_2015,4,6
nocm5_02_2015,4,6
rteb1_03_2016,5,7
rtwb1_03_2016,5,7
rtwb2_03_2016,5,7
nocm1_03_2016,5,8 9
nocm2_03_2016,5,9
nocm3_03_2016,5 6,9
nocm4_03_2016,6,8
nocm5_03_2016,6,8
rteb1_04_2017,7,8
rtwb1_04_2017,7,8
rtwb2_04_2017,7,8
rteb1_05_2018,8,10
rtwb1_05_2018,8,10
rtwb2_05_2018,8,10
ib3_01_2018,8,10
ib4_01_2018,8,10
ib5_01_2018,8,10
